user,text,favorite_count,retweet_count,created_at
wtfruchss,"AI will not take your job… An AI prompt specialist will though lol. 
That’s the real art of it.",1,0,2025-06-27 10:42:28+00:00
wtfruchss,High time to follow Premanand Maharaj… ab toh mera comeback भी वहीं करवा सकते हैं,1,1,2025-06-03 18:08:24+00:00
wtfruchss,"Khatam tata bye bye

#RCBvsPBKS",4,0,2025-06-03 17:44:29+00:00
wtfruchss,"Cool 
cool…
We still have Nehal Wadhera. 
Please please don’t mess it up……

#RCBvsPBKS",1,1,2025-06-03 17:22:09+00:00
wtfruchss,"Arey yaar yahan most awaited IPL final chal raha aur didi zabardasti shopping pe le aayi 😩😭
#RCBvsPBKS 
#IPLFinal",2,1,2025-06-03 15:36:51+00:00
wtfruchss,"Am I atankwadi??
Kyuki atankwadi ki prem kahani hoti hi nahiii….🫠",3,1,2025-05-17 07:45:43+00:00
wtfruchss,"It does get better, but by then it’s too late….",2,0,2025-05-16 19:28:29+00:00
wtfruchss,Ladle…. hum hi hai fine shyt!😎,1,0,2025-05-16 12:42:57+00:00
wtfruchss,Day 92 of asking myself: when does it get better?,1,1,2025-05-15 16:04:48+00:00
wtfruchss,"Being average at everything I do ❎
Being able to do everything  ✅",3,0,2025-05-15 06:24:17+00:00
wtfruchss,What do I even do with this random wave of sadness….?,1,0,2025-05-12 17:21:09+00:00
wtfruchss,Let’s see what’s coming. Keeping an eye on this one. https://t.co/go5LzFd792,2,0,2025-05-12 13:05:43+00:00
wtfruchss,"He said this, then cheated on me. These guys out there? Not to be trusted. https://t.co/QqtFtbPlJF",2,1,2025-05-11 11:49:36+00:00
wtfruchss,"#IndianArmy 
#IndianPakistanWar https://t.co/bvBryc41Cn",3,0,2025-05-08 17:27:30+00:00
wtfruchss,Peak dosti 🤝 https://t.co/zNghlXm8vB,1,0,2025-05-07 12:56:15+00:00
wtfruchss,"It was around 3 AM when messages started popping up — my friend was sending images and videos about #OperationSindoor. I instantly opened the news. Ahh, the satisfaction, patriotic rush. Hats off to the Indian Army!",1,0,2025-05-07 03:35:12+00:00
wtfruchss,😭😂 https://t.co/ba877YnnCz,3,0,2025-05-05 14:24:00+00:00
wtfruchss,Idk what’s wrong with me but lowkey wanna dye my hair cherry red….🫠,2,1,2025-04-30 13:12:44+00:00
wtfruchss,Nothing is funnier on Twitter today than Pakistanis roasting themselves.,3,1,2025-04-25 06:32:06+00:00
wtfruchss,"Our government is in question. National security is in question. Terrorists come, kill, and leave. Everything is fking questionable!",1,1,2025-04-23 15:28:42+00:00
wtfruchss,"On this Maha Shivratri, as the night deepens, so does our journey inward. Shiva teaches us detachment yet the deepest connection to our true self. Close your eyes, chant ‘Om Namah Shivaya,’ and awaken Shiva within. 🔱",3,1,2025-02-26 10:17:21+00:00
wtfruchss,"The only politician I admired while growing up. Rest in peace, Dr. Manmohan Singh Ji. You were truly a visionary leader. https://t.co/mAahhl3Ljr",1,1,2024-12-27 09:53:03+00:00
wtfruchss,"We all face the same end, but it's what we leave behind that matters most. The legacy of Ratan Tata sir will continue to inspire generations. A life dedicated to progress, bettering society, and creating an enduring impact. 
#RIPRatanTata #LegacyLivesOn",2,0,2024-10-09 19:43:49+00:00
wtfruchss,"I agree, he’s not entirely wrong, but this response reveals the underlying mentality of our society. No matter how open-minded or educated people pretend to be, many still think this way. I’m shocked that someone in my own friend circle could say this. This society is truly sick.",0,0,2024-08-22 10:01:27+00:00
wtfruchss,"I remember sharing an incident with a very close male friend about being molested while I was drunk. He initially showed sympathy, but then casually said, ‘Stop talking like a 12-year-old, it’s your responsibility to keep yourself safe.’",1,0,2024-08-22 10:01:27+00:00
wtfruchss,"I’m in shock, struggling to accept that our society is still so broken, that our system is still so hollow. The perpetrators of such atrocities should face the harshest of punishments—enough to instill fear in anyone who might even consider such a vile act in the future.",0,0,2024-08-16 14:30:22+00:00
wtfruchss,"I thought our system would improve, that such barbaric acts would become unthinkable out of sheer fear of punishment. But here we are, years later, facing the same nightmare. A young female doctor in Kolkata, brutally raped and murdered.",0,0,2024-08-16 14:30:21+00:00
wtfruchss,"It’s heartbreaking to realize that when the Nirbhaya case happened, I was too young to fully grasp the depth of the horror, but even then, I knew it was beyond comprehension—a crime so heinous that I believed it would be a turning point.",1,0,2024-08-16 14:30:20+00:00
wtfruchss,"Just saw an ig story of a girl getting beautiful flowers on Girlfriends Day. Ugh, my day is ruined.",2,0,2024-08-01 05:57:19+00:00
wtfruchss,Had a mini meltdown yesterday and cried. Today I'm glowing like never before! Guess tears are the secret to my great skin😌,1,0,2024-07-30 17:10:04+00:00
wtfruchss,A problem becomes a problem only if you believe it to be so. And often others see you as you see yourself.,0,0,2024-06-25 18:13:36+00:00
wtfruchss,"Him: Babe I’m not like other guys, I’m very understanding…

Also him: https://t.co/kxBnR6hyWO",5,0,2023-12-23 05:41:41+00:00
wtfruchss,"Gawd! Kesariya in Sid Sriram's voice is so magical.
#Kesariya 
#Kumkumala",3,0,2022-07-17 09:47:28+00:00
wtfruchss,Fuck! I'm obsessed with one direction all over again.,2,0,2022-06-23 06:52:29+00:00
wtfruchss,Received this text from my ex. Lmao! https://t.co/mutbFkqfDc,4,0,2022-06-06 11:04:16+00:00
